question,optimal_trajectory_id,joules_spent,is_correct
Which magazine was started first Arthur's Magazine or First for Women?,0,270.7128447485479,True
The Oberoi family is part of a hotel company that has a head office in what city?,1,498.6339382509491,True
"Musician and satirist Allie Goertz wrote a song about the ""The Simpsons"" character Milhouse, who Matt Groening named after who?",3,869.0830829186463,True
 What nationality was James Henry Miller's wife?,2,562.6258185867669,True
"Cadmium Chloride is slightly soluble in this chemical, it is also called what?",2,562.6258185867669,True
"Which tennis player won more Grand Slam titles, Henri Leconte or Jonathan Stark?",1,498.6339382509491,True
Which genus of moth in the world's seventh-largest country contains only one species?,7,3690.591627007379,False
"Who was once considered the best kick boxer in the world, however he has been involved in a number of controversies relating to his ""unsportsmanlike conducts"" in the sport and crimes of violence outside of the ring.",7,3690.591627007379,False
"The Dutch-Belgian television series that ""House of Anubis"" was based on first aired in what year?",2,562.6258185867669,True
What is the length of the track where the 2013 Liqui Moly Bathurst 12 Hour was staged?,2,562.6258185867669,True
"Fast Cars, Danger, Fire and Knives includes guest appearances from which hip hop record executive?",7,3690.591627007379,False
"Gunmen from Laredo starred which narrator of ""Frontier""?",4,1424.6899817918095,True
Where did the form of music played by Die Rhöner Säuwäntzt originate?,7,2864.271883385668,False
In which American football game was Malcolm Smith named Most Valuable player?,0,270.7128447485479,True
"What U.S Highway gives access to Zilpo Road, and is also known as Midland Trail?",1,498.6339382509491,True
"The 1988 American comedy film, The Great Outdoors, starred a four-time Academy Award nominee, who received a star on the Hollywood Walk of Fame in what year?",7,6169.550857872515,False
What are the names of the current members of  American heavy metal band who wrote the music for  Hurt Locker The Musical? ,7,2864.271883385668,False
"Human Error"" is the season finale of the third season of a tv show that aired on what network?",0,270.7128447485479,True
"Dua Lipa, an English singer, songwriter and model, the album spawned the number-one single ""New Rules"" is a song by English singer Dua Lipa from her eponymous debut studio album, released in what year?",0,270.7128447485479,True
"American politician Joe Heck ran unsuccessfully against Democrat Catherine Cortez Masto, a woman who previously served as the 32nd Attorney General of where?",0,270.7128447485479,True
"Which state does the drug stores, of which the CEO is Warren Bryant, are located?",7,2864.271883385668,False
Which  American politician did Donahue replaced ,1,498.6339382509491,True
"Which band was founded first, Hole, the rock band that Courtney Love was a frontwoman of, or The Wolfhounds?",0,270.7128447485479,True
How old is the female main protagonist of Catching Fire?,4,1424.6899817918095,True
Chang Ucchin was born in korea during a time that ended with the conclusion of what? ,7,2864.271883385668,False
Who is the director of the 2003 film which has scenes in it filmed at the Quality Cafe in Los Angeles?,7,2864.271883385668,False
"New Faces of 1952 is a musical revue with songs and comedy skits, it helped jump start the career of which young performer, and American actress?",2,562.6258185867669,True
Were Pavel Urysohn and Leonid Levin known for the same type of work?,0,270.7128447485479,True
Are both The New Pornographers and Kings of Leon American rock bands?,0,270.7128447485479,True
"750 7th Avenue and 101 Park Avenue, are located in which city?",0,270.7128447485479,True
"Which actress played the part of fictitious character Kimberly Ann Hart, in the franchise built around a live action superhero television series taking much of its footage from the Japanese tokusatsu 'Super Sentai'?",2,562.6258185867669,True
"Who was born first, Pablo Trapero or Aleksander Ford?",0,270.7128447485479,True
Are Jane and First for Women both women's magazines?,0,270.7128447485479,True
What profession does Nicholas Ray and Elia Kazan have in common?,0,270.7128447485479,True
Where is the company that purchased Aixam based in?,7,2864.271883385668,False
"Which documentary is about Finnish rock groups, Adam Clayton Powell or The Saimaa Gesture?",0,270.7128447485479,True
"Who was inducted into the Rock and Roll Hall of Fame, David Lee Roth or Cia Berg?",0,270.7128447485479,True
Zimbabwe's Guwe Secondary School has a sister school in what New York cunty?,4,1424.6899817918095,True
"The Royal Commission into Drug Trafficking (1977–1979) or Woodward Royal Commission was a royal commission initiated by the New South Wales Government to investigate drug trafficking in New South Wales, Australia, especially links between the New South Wales Police and Mafia, The Honoured Society, is a Calabrian 'Ndrangheta criminal confederation, started in Melbourne and currently active in all of which country?  ",0,270.7128447485479,True
"The 337th Flight Test Squadron (337 FLTS) was most recently part of the 46th Test Wing and based at McClellan Air Force Base, a former United States Air Force base located in the North Highlands area of Sacramento County, in which US state?",0,270.7128447485479,True
The axial turbojet Pirna 014 was designed by engineers from this German aircraft and aircraft engine manufacturer based in which city?,7,2864.271883385668,False
